refid,refid_value,projid,tstamp,filename,author_entity
8,8,research_reviewer_main,2025-06-23 21:25:43,raw_ref_to_json.py,"{'key': 'author-17', 'name': 'Jock D. Mackinlay', 's2_id': None, 'orcid': None, 'raw_name': 'J. Mackinlay'}"
8,8,research_reviewer_main,2025-06-23 21:25:43,raw_ref_to_json.py,"{'key': 'author-18', 'name': 'J. Krause', 's2_id': None, 'orcid': None, 'raw_name': 'J. Krause'}"
8,8,research_reviewer_main,2025-06-23 21:25:43,raw_ref_to_json.py,"{'key': 'author-19', 'name': 'A. Perer', 's2_id': None, 'orcid': None, 'raw_name': 'A. Perer'}"
8,8,research_reviewer_main,2025-06-23 21:25:43,raw_ref_to_json.py,"{'key': 'author-20', 'name': 'K. Ng', 's2_id': None, 'orcid': None, 'raw_name': 'K. Ng'}"
9,9,research_reviewer_main,2025-06-23 21:25:43,raw_ref_to_json.py,"{'key': 'author-1', 'name': 'Chris Brunsdon', 's2_id': None, 'orcid': 'https://orcid.org/0000-0003-4254-1780', 'raw_name': 'C. Brunsdon'}"
9,9,research_reviewer_main,2025-06-23 21:25:43,raw_ref_to_json.py,"{'key': 'author-2', 'name': 'A. Stewart Fotheringham', 's2_id': None, 'orcid': 'https://orcid.org/0000-0002-0407-1901', 'raw_name': 'A. S. Fotheringham'}"
9,9,research_reviewer_main,2025-06-23 21:25:43,raw_ref_to_json.py,"{'key': 'author-3', 'name': 'Martin Charlton', 's2_id': None, 'orcid': 'https://orcid.org/0000-0002-0622-393X', 'raw_name': 'M. E. Charlton'}"
9,9,research_reviewer_main,2025-06-23 21:25:43,raw_ref_to_json.py,"{'key': 'author-4', 'name': 'Wenbai Yang', 's2_id': None, 'orcid': 'https://orcid.org/0000-0003-3293-8389', 'raw_name': 'W. Yang'}"
9,9,research_reviewer_main,2025-06-23 21:25:43,raw_ref_to_json.py,"{'key': 'author-5', 'name': 'Wei Kang', 's2_id': None, 'orcid': 'https://orcid.org/0000-0002-1073-7781', 'raw_name': 'W. Kang'}"
9,9,research_reviewer_main,2025-06-23 21:25:43,raw_ref_to_json.py,"{'key': 'author-6', 'name': 'T. Gao', 's2_id': None, 'orcid': None, 'raw_name': 'T. Gao'}"
9,9,research_reviewer_main,2025-06-23 21:25:43,raw_ref_to_json.py,"{'key': 'author-7', 'name': 'J. Hullman', 's2_id': None, 'orcid': None, 'raw_name': 'J. Hullman'}"
9,9,research_reviewer_main,2025-06-23 21:25:43,raw_ref_to_json.py,"{'key': 'author-8', 'name': 'E. Adar', 's2_id': None, 'orcid': None, 'raw_name': 'E. Adar'}"
9,9,research_reviewer_main,2025-06-23 21:25:43,raw_ref_to_json.py,"{'key': 'author-9', 'name': 'B. Hecht', 's2_id': None, 'orcid': None, 'raw_name': 'B. Hecht'}"
9,9,research_reviewer_main,2025-06-23 21:25:43,raw_ref_to_json.py,"{'key': 'author-10', 'name': 'N. Diakopoulos', 's2_id': None, 'orcid': None, 'raw_name': 'N. Diakopoulos'}"
9,9,research_reviewer_main,2025-06-23 21:25:43,raw_ref_to_json.py,"{'key': 'author-11', 'name': 'Sarah Goodwin', 's2_id': None, 'orcid': 'https://orcid.org/0000-0001-8894-8282', 'raw_name': 'S. Goodwin'}"
9,9,research_reviewer_main,2025-06-23 21:25:43,raw_ref_to_json.py,"{'key': 'author-12', 'name': 'Jason Dykes', 's2_id': None, 'orcid': 'https://orcid.org/0000-0002-8096-5763', 'raw_name': 'J. Dykes'}"
9,9,research_reviewer_main,2025-06-23 21:25:43,raw_ref_to_json.py,"{'key': 'author-13', 'name': 'Aidan Slingsby', 's2_id': None, 'orcid': 'https://orcid.org/0000-0003-3941-553X', 'raw_name': 'A. Slingsby'}"
9,9,research_reviewer_main,2025-06-23 21:25:43,raw_ref_to_json.py,"{'key': 'author-14', 'name': 'Çağatay Turkay', 's2_id': None, 'orcid': 'https://orcid.org/0000-0001-6788-251X', 'raw_name': 'C. Turkay'}"
9,9,research_reviewer_main,2025-06-23 21:25:43,raw_ref_to_json.py,"{'key': 'author-15', 'name': 'Jabba Hutt', 's2_id': None, 'orcid': None, 'raw_name': 'Jabba Hutt'}"
9,9,research_reviewer_main,2025-06-23 21:25:43,raw_ref_to_json.py,"{'key': 'author-16', 'name': 'Robert Kosara', 's2_id': None, 'orcid': 'https://orcid.org/0000-0002-1178-4029', 'raw_name': 'R. Kosara'}"
9,9,research_reviewer_main,2025-06-23 21:25:43,raw_ref_to_json.py,"{'key': 'author-17', 'name': 'Jock D. Mackinlay', 's2_id': None, 'orcid': None, 'raw_name': 'J. Mackinlay'}"
9,9,research_reviewer_main,2025-06-23 21:25:43,raw_ref_to_json.py,"{'key': 'author-18', 'name': 'J. Krause', 's2_id': None, 'orcid': None, 'raw_name': 'J. Krause'}"
9,9,research_reviewer_main,2025-06-23 21:25:43,raw_ref_to_json.py,"{'key': 'author-19', 'name': 'A. Perer', 's2_id': None, 'orcid': None, 'raw_name': 'A. Perer'}"
9,9,research_reviewer_main,2025-06-23 21:25:43,raw_ref_to_json.py,"{'key': 'author-20', 'name': 'K. Ng', 's2_id': None, 'orcid': None, 'raw_name': 'K. Ng'}"
9,9,research_reviewer_main,2025-06-23 21:25:43,raw_ref_to_json.py,"{'key': 'author-21', 'name': 'Chufan Lai', 's2_id': None, 'orcid': 'https://orcid.org/0009-0002-2880-7335', 'raw_name': 'C. Lai'}"
9,9,research_reviewer_main,2025-06-23 21:25:43,raw_ref_to_json.py,"{'key': 'author-22', 'name': 'Zhixian Lin', 's2_id': None, 'orcid': None, 'raw_name': 'Z. Lin'}"
9,9,research_reviewer_main,2025-06-23 21:25:43,raw_ref_to_json.py,"{'key': 'author-23', 'name': 'Ruike Jiang', 's2_id': None, 'orcid': 'https://orcid.org/0000-0002-5001-5310', 'raw_name': 'R. Jiang'}"
